symbol,company,cik,market_cap_05132022,last_sale_05132022,sector
AZN,AstraZeneca PLC American Depositary Shares,901832,1.95744E+11,63.17,Health Care
ADBE,Adobe Inc. Common Stock,796343,1.90914E+11,404.05,Information Technology
ODFL,"Old Dominion Freight Line, Inc. Common Stock",878927,31335513414,276.44,Industrials
LCID,"Lucid Group, Inc. Common Stock",1811210,30279645603,18.16,Consumer Discretionary
CEG,Constellation Energy Corporation Common Stock,1868275,18022049404,55.17,Utilities
AEP,"American Electric Power Company, Inc. Common Stock",4904,50887092400,99.09,Utilities
EXC,Exelon Corporation Common Stock,1109357,45653262353,46.58,Utilities
XEL,Xcel Energy Inc. Common Stock,72903,40407827140,74.19,Utilities
CSX,CSX Corporation Common Stock,277948,73109490886,33.63,Industrials
MSFT,Microsoft Corporation Common Stock,789019,1.95472E+12,261.36,Information Technology
GOOG,Alphabet Inc. Class C Capital Stock,1652044,1.54209E+12,2341.83,Communication Services
GOOGL,Alphabet Inc. Class A Common Stock,1652044,1.53893E+12,2337.02,Communication Services
FB,"Meta Platforms, Inc. Class A Common Stock",1326801,5.38285E+11,198.9,Communication Services
CSCO,"Cisco Systems, Inc. Common Stock (DE)",858877,2.05403E+11,49.45,Information Technology
INTU,Intuit Inc. Common Stock,896878,1.04768E+11,370.45,Information Technology
PYPL,"PayPal Holdings, Inc. Common Stock",1633917,91207224808,78.76,Information Technology
ADP,"Automatic Data Processing, Inc. Common Stock",8670,87363461898,209.13,Information Technology
NFLX,"Netflix, Inc. Common Stock",1065280,81262129904,182.91,Communication Services
FISV,"Fiserv, Inc. Common Stock",798354,62477218353,96.66,Information Technology
NTES,"NetEase, Inc. American Depositary Shares",1110646,60431998150,92.01,Communication Services
TEAM,Atlassian Corporation Plc Class A Ordinary Shares,1650372,45967288152,181.34,Information Technology
WDAY,"Workday, Inc. Class A Common Stock",1327811,45493750000,181.25,Information Technology
PAYX,"Paychex, Inc. Common Stock",723531,43307645984,119.96,Information Technology
ADSK,"Autodesk, Inc. Common Stock",769397,42735381924,196.46,Information Technology
SNPS,"Synopsys, Inc. Common Stock",883241,41804370170,273.06,Information Technology
BIDU,"Baidu, Inc. ADS",1329099,40343022393,116.75,Communication Services
CDNS,"Cadence Design Systems, Inc. Common Stock",813672,39226717750,142.25,Information Technology
CTSH,Cognizant Technology Solutions Corporation Class A Common Stock,1058290,38707580948,74.27,Information Technology
CRWD,"CrowdStrike Holdings, Inc. Class A Common Stock",1535527,35871244465,154.61,Information Technology
DDOG,"Datadog, Inc. Class A Common Stock",1561550,33798214807,107.29,Information Technology
ZM,"Zoom Video Communications, Inc. Class A Common Stock",1585521,27849767882,93.09,Information Technology
VRSK,"Verisk Analytics, Inc. Common Stock",1442145,27557055644,174.52,Industrials
MTCH,"Match Group, Inc. Common Stock",891103,22147718848,77.55,Communication Services
ANSS,"ANSYS, Inc. Common Stock",1013462,21820601701,250.84,Information Technology
ZS,"Zscaler, Inc. Common Stock",1713683,21451503323,152.05,Information Technology
VRSN,"VeriSign, Inc. Common Stock",1014473,18324105751,167.28,Information Technology
SPLK,Splunk Inc. Common Stock,1353283,16228848357,100.84,Information Technology
DOCU,"DocuSign, Inc. Common Stock",1261333,15974295890,79.91,Information Technology
OKTA,"Okta, Inc. Class A Common Stock",1660134,15305668373,97.04,Information Technology
AMZN,"Amazon.com, Inc. Common Stock",1018724,1.13791E+12,2236.8,Consumer Discretionary
COST,Costco Wholesale Corporation Common Stock,909832,2.19959E+11,496.27,Consumer Staples
JD,"JD.com, Inc. American Depositary Shares",1549802,80195738952,51.35,Consumer Discretionary
PDD,Pinduoduo Inc. American Depositary Shares,1737806,46719050470,36.95,Consumer Discretionary
ORLY,"O'Reilly Automotive, Inc. Common Stock",898173,41903579074,637.56,Consumer Discretionary
MELI,"MercadoLibre, Inc. Common Stock",1099590,40302888580,800.01,Consumer Discretionary
LULU,lululemon athletica inc. Common Stock,1397187,39662883449,309.82,Consumer Discretionary
WBA,"Walgreens Boots Alliance, Inc. Common Stock",1618921,37613015490,43.55,Consumer Staples
DLTR,Dollar Tree Inc. Common Stock,935703,36084060187,160.3,Consumer Discretionary
ROST,"Ross Stores, Inc. Common Stock",745732,32173482650,91.56,Consumer Discretionary
EBAY,eBay Inc. Common Stock,1065088,26015864013,46.47,Consumer Discretionary
HON,Honeywell International Inc. Common Stock,773840,1.31494E+11,193.17,Industrials
AMAT,"Applied Materials, Inc. Common Stock",6951,99046206925,112.12,Information Technology
PCAR,PACCAR Inc. Common Stock,75362,29233205306,84.08,Industrials
AMGN,Amgen Inc. Common Stock,318154,1.29389E+11,242.21,Health Care
ISRG,"Intuitive Surgical, Inc. Common Stock",1035267,79925256739,222.66,Health Care
GILD,"Gilead Sciences, Inc. Common Stock",882095,77717261238,61.96,Health Care
REGN,"Regeneron Pharmaceuticals, Inc. Common Stock",872589,70070887153,637.9,Health Care
VRTX,Vertex Pharmaceuticals Incorporated Common Stock,875320,62570695859,244.65,Health Care
MRNA,"Moderna, Inc. Common Stock",1682852,55292550458,139.01,Health Care
ILMN,"Illumina, Inc. Common Stock",1110803,36505327000,232.37,Health Care
DXCM,"DexCom, Inc. Common Stock",1093557,32633741538,332.57,Health Care
IDXX,"IDEXX Laboratories, Inc. Common Stock",874716,30765128869,366.22,Health Care
BIIB,Biogen Inc. Common Stock,875045,29243537956,199.68,Health Care
SGEN,Seagen Inc. Common Stock,1060736,24547407372,133.36,Health Care
ALGN,"Align Technology, Inc. Common Stock",1097149,21433532673,271.98,Health Care
AAPL,Apple Inc. Common Stock,320193,2.55015E+12,147.09,Information Technology
NVDA,NVIDIA Corporation Common Stock,1045810,4.43786E+11,177.23,Information Technology
AVGO,Broadcom Inc. Common Stock,1730168,2.38689E+11,584.62,Information Technology
ASML,ASML Holding N.V. New York Registry Shares,937966,2.20642E+11,548.04,Information Technology
INTC,Intel Corporation Common Stock,50863,1.78837E+11,43.74,Information Technology
TXN,Texas Instruments Incorporated Common Stock,97476,1.57039E+11,170.3,Information Technology
AMD,"Advanced Micro Devices, Inc. Common Stock",2488,1.54372E+11,94.86,Information Technology
QCOM,QUALCOMM Incorporated Common Stock,804328,1.51805E+11,135.54,Information Technology
ADI,"Analog Devices, Inc. Common Stock",6281,83057960858,158.72,Information Technology
MU,"Micron Technology, Inc. Common Stock",723125,80299513687,71.91,Information Technology
LRCX,Lam Research Corporation Common Stock,707549,67835809654,489.03,Information Technology
KLAC,KLA Corporation Common Stock,319201,49902708035,334.39,Information Technology
PANW,"Palo Alto Networks, Inc. Common Stock",1327567,48257352570,490,Information Technology
MRVL,"Marvell Technology, Inc. Common Stock",1835632,48055635086,56.49,Information Technology
NXPI,NXP Semiconductors N.V. Common Stock,1413447,47463837088,180.77,Information Technology
FTNT,"Fortinet, Inc. Common Stock",1262039,44987727342,280.25,Information Technology
MCHP,Microchip Technology Incorporated Common Stock,827054,37460264560,67.38,Information Technology
SWKS,"Skyworks Solutions, Inc. Common Stock",4127,16631715949,103.35,Information Technology
FAST,Fastenal Company Common Stock,815556,30357462128,52.74,Industrials
CMCSA,Comcast Corporation Class A Common Stock,1166691,1.85047E+11,41.31,Communication Services
CHTR,"Charter Communications, Inc. Class A Common Stock New",1091667,95821100124,467.65,Communication Services
BKNG,Booking Holdings Inc. Common Stock,1075531,85121970622,2095.4,Consumer Discretionary
SBUX,Starbucks Corporation Common Stock,829224,85028069370,74.14,Consumer Discretionary
ABNB,"Airbnb, Inc. Class A Common Stock",1559720,72459497355,121.5,Consumer Discretionary
MAR,Marriott International Class A Common Stock,1048286,54462451430,166.4,Consumer Discretionary
CTAS,Cintas Corporation Common Stock,723254,38635839895,377.58,Industrials
SIRI,Sirius XM Holdings Inc. Common Stock,908937,24187435923,6.15,Communication Services
PEP,"PepsiCo, Inc. Common Stock",77476,2.37723E+11,171.93,Consumer Staples
MDLZ,"Mondelez International, Inc. Class A Common Stock",1103982,91138290785,65.86,Consumer Staples
KHC,The Kraft Heinz Company Common Stock,1637459,53707011083,43.88,Consumer Staples
KDP,Keurig Dr Pepper Inc. Common Stock,1418135,52911796834,37.3,Consumer Staples
MNST,Monster Beverage Corporation,865752,46574006818,87.93,Consumer Staples
TSLA,"Tesla, Inc. Common Stock",1318605,8.05145E+11,777.16,Consumer Discretionary
ATVI,"Activision Blizzard, Inc. Common Stock",718877,61010211260,78.03,Communication Services
EA,Electronic Arts Inc. Common Stock,712515,34860312341,123.96,Communication Services
TMUS,"T-Mobile US, Inc. Common Stock",1283699,1.58428E+11,126.38,Communication Services
CPRT,"Copart, Inc. (DE) Common Stock",900075,26523698799,111.68,Industrials